"wc2.0_bio_10m_01.tif" "wc2.0_bio_10m_02.tif" "wc2.0_bio_10m_03.tif" "wc2.0_bio_10m_04.tif" "wc2.0_bio_10m_05.tif" "wc2.0_bio_10m_06.tif" "wc2.0_bio_10m_07.tif" "wc2.0_bio_10m_08.tif" "wc2.0_bio_10m_09.tif" "wc2.0_bio_10m_10.tif" "wc2.0_bio_10m_11.tif" "wc2.0_bio_10m_12.tif" "wc2.0_bio_10m_13.tif" "wc2.0_bio_10m_14.tif" "wc2.0_bio_10m_15.tif" "wc2.0_bio_10m_16.tif" "wc2.0_bio_10m_17.tif" "wc2.0_bio_10m_18.tif" "wc2.0_bio_10m_19.tif"
"244" 8.59806242585182 7.67874985933304 27.236612694099 759.569465005494 22.1542491912842 -6.03849983215332 28.1927490234375 1.56387503941854 13.962958017985 18.126707871755 -0.368083298206329 657 80 46 17.6929970033429 198 144 164 194
"245" 11.1657916593055 10.4719167773922 32.0313125615337 793.814343787797 26.8759994506836 -5.81675004959106 32.6927495002747 3.74770829578241 5.04783342281977 21.189458211263 1.79995844761531 482 52 33 15.9402220224963 137 105 131 115
"246" 11.0003332470854 11.0741249372562 33.1208601788812 801.039079288667 26.8072490692139 -6.62825012207031 33.4354991912842 18.7204998334249 16.9072083632151 21.102125008901 1.55041658878326 443 50 29 16.5453386121949 128 96 122 105
"247" 10.5666145086288 9.58452073733012 28.3274468488699 869.963348380841 26.0947494506836 -7.74000024795532 33.8347496986389 19.124583085378 16.7052499453227 21.4899581273397 0.0392499764760335 396 47 25 18.3890362182347 121 84 109 101
"248" 10.4601353953282 7.93556242187818 24.1028507546554 907.474256173814 25.8190002441406 -7.10475015640259 32.9237504005432 19.4568335215251 16.7132498423258 21.77241675059 -0.556791722774506 379 45 24 17.5797062907183 115 82 105 94
"249" 9.98769795894623 9.3337291876475 27.5148618754812 903.50234535014 25.8225002288818 -8.10000038146973 33.9225006103516 19.2714586257935 -0.288625081380208 21.3031668663025 -0.920250018437703 397 46 27 15.6486163437753 121 88 115 93
"25" 9.82009380559126 10.0571873684724 28.6325619031243 913.85386563435 26.3297500610352 -8.79524993896484 35.125 19.2804166475932 -0.571958303451538 21.2875420252482 -1.20958332220713 400 47 27 16.6778740771014 124 87 118 93
"250" 9.20385408898195 10.2578332324823 28.3824221413805 917.232421782906 26.1277503967285 -10.0137500762939 36.1415004730225 18.8301666577657 14.9507914384206 20.4869583447774 -2.07120835781097 409 49 26 19.4637363546763 132 87 124 97
"251" 9.08304161950946 10.2840831850966 28.1231773637013 925.474561186725 26.1399993896484 -10.42799949646 36.5679988861084 18.8304165204366 14.8629166285197 20.4149998029073 -2.30558335781097 418 50 26 20.8100850338716 136 86 128 102
"252" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"253" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"254" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"255" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"28" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"29" 11.9089285582304 7.41738079984983 26.1333120584237 768.057541726688 26.3628578186035 -2.01999998092651 28.38285779953 4.83142856756846 10.0185713569323 21.7561906178792 3.0476190050443 500 58 33 16.6429755862236 144 110 133 121
"3" 10.6896883541097 7.57995122795304 26.2096815888386 786.730360002467 24.9453582763672 -3.97506642341614 28.9204246997833 3.27661370982726 4.65870900948842 20.6222368876139 1.53943415234486 533 60 37 14.3759394779587 150 121 140 146
"30" 11.2566770911217 10.1112707853317 30.619800567939 826.756192534798 26.9497509002686 -6.07224988937378 33.0220007896423 21.6626669565837 5.14237483342489 21.6626669565837 1.52312501271566 438 46 30 13.8096730847284 124 97 124 111
"31" 11.4502709334095 7.13333343962828 23.5266309458772 839.911446113869 26.0202503204346 -4.30000019073486 30.3202505111694 22.1199587186178 5.19170828660329 22.1199587186178 1.62245822946231 412 45 27 13.8825316007823 115 94 115 102
